name,description,link
増戸エリア（上級）健脚コース,あきる野市,data/132284_Masuko_Area_(Advanced)_Good_walker_course.kml
多西エリア（初級）平井川散歩コース,あきる野市,data/132284_Tasai_Area_(Beginner)_Hiraigawa_River_walking_course.kml
多西エリア（中級）瀬戸岡古墳巡りコース,あきる野市,data/132284_Tasai_Area_(Intermediate)_A_course_touring_Sedooka-kofun_Tumulus.kml
多西エリア（上級）草花丘陵展望コース,あきる野市,data/132284_Tasai_Area_(Advanced)_Kusabana_Hill_view_course.kml
東秋留エリア（初級）かたらいコース,あきる野市,data/132284_Higashi-Akiru_Area_(Beginner)_Walk_and_chat_course.kml
東秋留エリア（中級）秋川ウォーキング銀座,あきる野市,data/132284_Higashi-Akiru_Area_(Intermediate)_Akigawa_Ginza_walking_in_various_styles.kml
東秋留エリア（上級）汗かき鍛錬コース,あきる野市,data/132284_Higashi-Akiru_Area_(Advanced)_Hard_and_sweating_course.kml
西秋留エリア（初級）のんびりコース,あきる野市,data/132284_Nishi-Akiru_Area_(Beginner)_Leisurely_walk_course.kml
西秋留エリア（中級）川のせせらぎコース,あきる野市,data/132284_Nishi-Akiru_Area_(Intermediate)_A_course_that_walks_along_the_murmuring_river.kml
西秋留エリア（上級）神社・寺院めぐりコース,あきる野市,data/132284_Nishi-Akiru_Area_(Advanced)_A_course_touring_shrines_and_temples.kml
A まちの里山コース,西東京市,data/132292_A_A_course_that_walks_traditional_rural_landscape_in_town.kml
B こもれ日の道コース,西東京市,data/132292_B_A_course_that_you_walk_in_sunlight_filtering_through_the_trees.kml
C 新しい道と懐かしさに触れるコース,西東京市,data/132292_C_A_course_that_lets_you_experience_both_new_and_old_roads.kml
D せせらぎ公園・社寺めぐりコース,西東京市,data/132292_D_A_course_touring_Seseragi_Park_and_Shrines_and_Temples.kml
E ひばりが丘・いこいの森コース,西東京市,data/132292_E_Hibarigaoka_and_Ikoinomori_Park_Course.kml
